0,class
وجهة نظر ساذجة تقول أن من ناضل في الماضي يحق له أن يتحول إلى ندل اليوم,NEG
الفلولي مصطفى بكري ينسى اسم ولي أمرهفيكتب أيوب بدل منصور اللهم لا تزد الانقلابيين إلا ضلالا! …,NEG
قال الرئيس الفلسطيني محمود عباس إن ما حدث لـ اليهود في الهولوكوست هو أبشع جريمة عرفتها البشرية من يومك زمباوى ونتن ياعباس,NEG
 لغز الحياة مصطفي محمود البرنس,NEG
لو خايف على الثورة فعلا ارمي مرسي والجماعة الفاشلة ورا ضهرك وضم على صف الثورة كمواطنغير كده خلي الإرهاب ينفعك ومنك للناس الغضبانة بقى,NEG
صفوت حجازي و سوف تصبح العريش عاصمة للولايات العربية المتحدةبس نتلايم عليها الاول,NEG
أعتقال الناشط اليساري هيثم محمدين يكشف بوضوح أن العسكر يستهدف المد الثوري أي كان لونه أو شكله أو إنتماءه وأن …,NEG
دعلاء الأسواني هل حدث من قبل في نظام ديمقراطي ان سحب شعب الثقة من رئيسه المنتخب ؟! >> …,NEG
يسقط حكم العسكر انزل اغسطس مصر تنتفض ضد العسكر مصر,NEG
المذيع المحترم بتاع مصر ٢٥ بيقول فيه مظاهرات في شبرا بتهتف بالطول بالعرض حنجيب الاسلام الارض ثم يتسائل ما دخل الدين في صراع سياسي,NEG
مهما حاولتم إقناع أنفسكم أن الشعب إختار دستور الإخوان دون تخويف أو لعب بالدين أو إنتهاكات ستظل الحقيقة أن مرسي كذب على المصريين ليمرر دستوره,NEG
عادة لا اعلن عن مواقفي السياسيةلكن كله الا الدستور في كلمة واحدة مهزلةو لو وصلنا لمهزلة الاستفتاء حقول لا,NEG
يحيطك دائما بما يشغلك فضيحة المحلة مرتضى سما ابله فاهيتا الخ يتغير الزمن ولا يتغيرون يلهونك بقنابل الدخانليطبخ برواقه الله غالب,NEG
ما يقال عن صدور مذكرة تفسيرية للإعلان الدستوري ضحك على الذقون,NEG
اعرفوهم انقلاب مصر يسقط حكم العسكر الداخلية بلطجية الحرية لمحمد شعبان عبدالقوي سنة طالب بكلية العلوم المنوفية,NEG
واضح ان شباب الاخوان رغم ذكائهم مغسولة دماغهم تماماً أدعوكم الى قراءة كتاب البشري الاسلامي لتعرفوا انتهازية قادتكماقرءوا الكتاب لتفهموا,NEG
اعتراف انا بكره الناس اللي بتخسر اعز صحاب عليها علشان خاطر حاجه مالهاش لازمه ـ انا فعلا بكره الكوره و,NEG
الاشتباكات اللي حصلت يتحملها الجميع لكن الخطأ السياسي كان القرار بالدعوة لمظاهرة مؤيدة للرئيس في نفس مكان وزمان مظاهرة معارضة,NEG
يعني ناس قعدت تنكر تعرية ست البنات وبعدين قعدت تبرره مستني منهم فجأة ينتفضوا لكرامة الإنسانللأسف كلنا هندفع تمن غياب العدل في هذا البلد,NEG
الحركة السياسية في مصر تأليف طارق البشري يكشف تواطوء قيادات الأخوان مع اسماعيل صدقي والملك فاروق ضد الحركة الوطنية اقرءوا قبل ان تشتمونا,NEG
وصل الامر بمصر نائب كويتى يقول لرئيس مصر على الهواء يا شحات مهانة ما بعدها مهانة رئيسنا شحات يا انقلاب العار يا اعلام العار,NEG
لدستور يعاملني انا واولادي كمواطنين من الدرجة الثانية بالتإكيد سأصوت عليه ب لا وألف لا,NEG
شاهد - آخر كلام لم يعد مجدياً أي حديث مع بشار,NEG
و أحب أفكركو ان الدستور العرة اللي بيحاولوا يفرضوه علينا نتاج عمل نخبة من متعلمي البلد! اتوكسوا,NEG
متابع للدستور وكل مسوداته منذ شهرين تخيير الناس بين نعم للدستور ولا لاستمرار إعلان غير دستوري هو ما أتحدث عنه,NEG
عباس يصف المحرقة بابشع جريمة في العصر الحديث ويدعو اسرائيل لتحقيق السلام افب عباس اسرائيل المحرقة,NEG
فودافون العباطه بين ايديك,NEG
مبدا تهجير الأقباط من منازلهم عند حدوث توتر طائفي جريمة إضافية في حق مواطنين مصريين صدقوا ان هناك دولة لا اصدق ان الشرطة عاجزة عن حمايتهم,NEG
تمرير دستور كارثي تحت التهديد بحرب أهلية كأننا بنمضي عقد أو شهادة زور تحت تهديد السلاح شغل يليق بالعصابات,NEG
خالد علي نرحب بـ الاخوان المشاركين في إسقاط قانون التظاهر! شفتوا الخول ده بيقول ايه؟ عايز يحط ايده في ايد بلطجية رابعة!,NEG
المصري اليوم علاء عبدالفتاح مصر لم تشهد حكمًا مدنيًّا حتى في عهد الإخوان,NEG
إغلاق حسابين على تويتر ينشران فضائح الفساد بسبب أردوغان الاخوان جماعة ارهابية تركيا قمع,NEG
شاهد - آخر كلام تعديل مشروع قانون عزل الفلول ,NEG
هو إحنا حا نعمل جلسات مجلس شعب ليه؟ ما الإخوان أهم بيخلصوا كل حاجة من مكاتبهم ولا حوجة للزحمة والمصاريف,NEG
اللي بيقول التحرش نقص دين في اوروبا معظم النتس مش متدينين ده نقص اخلاق و اللي يقولك حرمان كتير من المتحرشين متجوزين,NEG
وهذا ماقلته اليوم مع محمود سعد لمن أراد أن يدرك حقيقة أكذوبة الإستقرار الذي يروجون لهتصبحوا على خير,NEG
أيها الاخوان لستم ضحايا اننم خنتم الثورة وتواطئتم مع النظام القديم وعذبتم الثوار وقتلتموهم حتى ثار الشعب ضدكم الى متى تخدعون أنفسكم,NEG
إستنكر دعبدالمنعم أبو الفتوح بشدة التصرفات الوحشية واللا إنسانية التى ظهرت فى تسجيل فيديو على الأنترنت ، والذى,NEG
و الكائن الهلامي المعرض اللي كان مقوم الدنيا على حكومة هشام قنديل و ساكت على حكومة محلب رمز الحزب الوطني حرامية الدعم,NEG
قتلوا وحرقوا وأصابوا واعتقلوا ولاحقوا وطردوا واهانوا وشوهوا كل الشرفاء، كلنا غداً في الشارع احشد ٣٠ أغسطس لإسقاط الانقلاب,NEG
من عيوب تويتر الكثير من ردود الأفعال والقليل من الأفعال، الانشغال بشكل مبالغ فيه بالأحداث اليومية عن التخطيط للمستقبل,NEG
المؤامرة الحقيقية على مصر هي إعادة إنتاج الاستبداد بإجراءات متسارعة، الآن ينقل نائب عام عينه الرئيس مستشارا جليلا تعسفيا لرفضه احتجاز أبرياء,NEG
مذبحة جديدة بحق السعوديين الأبرياء نُفذت في الغوطة الشرقية على يد الحرس الجمهوري الأسدي الظالم فأين أنتم يا مسلمين وا معتصماه,NEG
الوطن العزل والرئاسة عمرو حمزاوي ,NEG
أيها الغيورون على القانون هل سمعتم عن تهريب المتهمين الأمريكان و١٤ الف مدني في السجن الحربي وإعلان دستوري باطل يمنح الحك,NEG
شباب الإخوان معانا باسم طلع حرامي البرادعي طلع جاسوس …,NEG
سيكتب التاريخ ان حركة ابريل بشقيها ضمت مجموعة من انبل واشجع شبان مصر كانوا طليعة الثورة ولازالوا يناضلون من اجل العدل والحرية,NEG
اللهم إني أعوذ بك من المزايدين والمزايدات الرجالة منهم والستات,NEG
هل الحروب الصليبية التى ارتكبت ابشع الجرائم باسم المسيحية تجعلنا نعادى كل المسيحيين في العالم أنا اعادى الأفعال السيئة ولا أعادى الديانات,NEG
عندنا القضاء الواقف وهو المحاماة والقضاء الجالس وهو القضاة والعدل النائم!ا جلال عامر,NEG
الفرسان كورة اخبار محمد صلاح يقود تشيلسي لاسقاط ليفربول,NEG
اللى رافضين السيسى رئيس بيعملوا فولوا لبعض و سيظل حكمهم مؤبد تقريبا !,NEG
 ههههههههههه انا و ام ابني المستقبلية بنفتح من اكونت واحد,NEG
لم تغلق قناة الفراعين لانها الاكثر كذبا او فجورا ولكن لانها الاقل احترافية فى الكذب والفجور,NEG
شاهد - آخر كلام قراءة في رؤية ناعوم تشومسكي لسياسة الولايات المتحدة تجاه مصر ,NEG
اقرا ؟ خطر مشاهدة الافلام الاباحية تفتك الدماغ,NEG
شرييييفة! فيفي عبده,NEG
أيها المتطرف في أي مكان في العالم اسحل المسلمين كما تشاء وإن لامك أحد فقل له هل يرضيك ماحدث للشيعة والبهائيين والمسيحيين في مصرقانون الغابة,NEG
هجوم البلطجية تحت حماية الجيش والشرطة انطلق فى بورسعيد والزقازيق وبنها جرائم جديدة فى ملف عصابة الانقلاب الملف اكتظ وفاض,NEG
تفووووووووو غزة تحت القصف,NEG
ماعنديش فلتر بين مخى ولسانى دى مصيبة الل بفكر فيه بقوله عادة زفت اعتراف,NEG
أدين بشدة تقديم كل صاحب رأي أو ناشط سياسي للمحاكمات العسكرية علي المجلس العسكري الالتزام بتعهده بعدم إحالة المدنيين لمحاكمات عسكرية,NEG
إيه يا ولاد الوسخة فيه إيه؟؟؟! ثورة الانترنت تي إي وساخة,NEG
قال الرئيس المتصهين محمود عباس إن ما حدث لـ اليهود في الهولوكوست هو أبشع جريمة عرفتها البشرية في العصر الحديث أخبار ف…,NEG
قلت للرئيس هناك حملة على حرية التعبير وبدأتم في اغلاق القنوات ومصادرة الصحف بدون سند قانوني معنى ذلك ان كل من يهاجم الاخوان سيتم إغلاقه,NEG
التعامل الأمنى العنيف مع المتظاهرين وأداء الإعلام الحكومي يعيدنا لأجواء ماقبل الثورة,NEG
ارفض المعونه الامريكيه واسرائيل بيننا وبينهم معاهده حقية لا نقبلها ولكن اذا ارادوها فعليهم احترامها اولا,NEG
لدينا اكبر رصيد فى العالم لاكاذيب الاعلام على الشاشات والصفحات انتظروا بعد سقوط الانقلاب موسوعة اعلام العار ستكون حديث العالم,NEG
 الميدان مفتي الدم الانقلابي صدق على اعدام من تم احالة اوراقهم اليه ,NEG
افلاس التليفزيون وصل مداه الغلابة من عمال وموظفين واعلاميين يدفعون الثمن والملايين موجودة لدرية وشلتها,NEG
باسم طلع حرامى باسيييييم مهزوز علشان اتفيش,NEG
اعداد كبيرة من الامن بزي مدني خلف الصف الاول للأمن المركزي عند ناصية مجلس الشعب الداخلية بلطجية,NEG
الشعب المصرى شعب متدين بطبعه - - كدبه ابريل,NEG
ثلاثين يونيو موجة ثورية ضد الفاشل مرسي والجماعة الكذابة ما أرفضه هو القمع والعقاب الجماعي كفاية كذب وخداع للنفس,NEG
أيها الاخوان صفقتم والثوار يقتلون وسخرتم من بنات مصر عندما هتكت أعراضهن وضمنتهم خروجا آمنا لطنطاوي وعنان وعندما خلعكم الشعب هتفتم ضد العسكر,NEG
فاتورة فودافون الشهر ده أوووووووووفر! ايه ده؟ ده أنا لو فاتح خطي على الصين ما تجييش نص المبلغ ده طب مش دافع!,NEG
أيامنا هذه هى أيام اختلال مفزع لمعايير الحكم على الأمور فى المجال العام فى مصر وفى بلاد العرب,NEG
مدير جامعة الإمام يستنكر الثناء على أردوغان ويعتبر تركيا دولة فاسدة فاسقة فاجرة تنشر الرذيلة مكة السعودية ,NEG
ليس عندي أدنى شك أن أنصار تيارات الشعارات الإسلامية سيلجأون قريبا جدا لتصفية المختلفين معهم في الرأي هروبا من فشلهم في حل أزمات الواقع,NEG
عندما صعد نيل أرمسترونج على سطح القمر قررنا أن يكون إسهامنا الحضاري إصدار إشاعة أنه سمع الأذان هناك وأسلمالإشاعة أوفر بكتير وهدفها الخير,NEG
البقية فى حياتك كان راجل عظيم,NEG
استدعاء نوارة نجم ومظهر شاهين وممدوح حمزه للتحقيق معناه ان مناصرة الثورة اصبحت جريمة عند المجلس العسكري,NEG
ماعنديش مشكلة نقبل او نرفض القرض على اسس اقتصادية،لكن انك تلوي الدين عشان تحلل و تحرم هو ده اللي ينرفز,NEG
مع الانقلاب الدموى هزيمة دموية لمنتخب مصر بالستة من يقتل الستات فى الشوارع تقتله غانا بالستات فى التصفيات,NEG
الطريق الى جماعة الاخوان المسلمين الارهابية الاخوان جماعة ارهابية,NEG
 يااااااه يا مالك بترد على حالة مر عليها يوم؟! حالة الانقسام التي شهدتها القوى الديموقراطية هي التي أدت لذلك,NEG
إحنا إعلام نكدي والمسئول الأول عن حالة الكأبة الموجودة على وشوش المصريين …,NEG
الاخوان يطالبون الشرطة بالاعتذار لأنهم غطوا عيني جمال صابر اثناء القبض عليه وماذا عن شهيدا هل دمهم حلال لأنهم ليسوا إخوانا سقوط أخلاقي,NEG
من الاخر اى حد فيه الرمق من المعارضة يمكن ينزل انتخابات شعب او شورى بيتقبض عليه لغاية ما تخلص خارطة الطريق وبعدها ربنا يسهل,NEG
اعلام العار قلب الدنيا صراخا على خسارة المنتخب من غانا ولم ينطق على دهس سيارة للطلاب امام جامعة الازهر شياطين فى صورة مذيعين,NEG
انفولو بلال مرشح الكنيسة و نصير دولة الفقيه ايوه الاتنين مع بعض,NEG
مرسي هو السياسي الوحيد الذي حاول أن يصبح طاغية دون إنجاز، ويبدو أنه لم يسمع عن القاعدة العلمية التي تقول طاغية دون إنجاز مثل شباك بلا إزاز,NEG
كيف يمكن الغاء الاعلان الدستوري مع الإبقاء على مضمونه وعلى الاثار المترتبة عليه والإبقاء على الاستفتاء في موعده لماذا لايحترم مرسي ذكاءنا,NEG
,NEG
ادين مثل باقي المصريين جميعا الاعتداء الهمجي علي الاستاذ خالد داوود بواسطه انصار الاخوان الارهابيين الثوره ستنتصر علي الارهاب,NEG
سفر رئيس الجمهورية ورئيس الوزراء إلى الخارج في هذا التوقيت استهانة بالشعب المصري ,NEG
التليفزيون يعرض ميادين خالية اغلقها الجيش ويترك اربعين مليونا بلا تغطية درية شرف الدين فين مظاهرات الشعب اهوه,NEG
الاعتقالات كالامطار بلا مبررات لكن الانقلاب يرفض حضور المحامين لتحقيقات النيابة,NEG
خالد بن الوليد قتل رجل مسلم وتزوج امراته في نفس اليوم بلا عدة بلا بطيخ,NEG
وبإذن الله لن يكون للفكر الصفوي الضال أي تواجد في ارض مصر,NEG
مصر لشعبها وليست لسويرس والعسكر مصر لن تنام الا عندما تعود الشرعية لن تحكموها أبدا بالرصاص والحديد والنار,NEG
لا للمحاكمات العسكرية,NEG
 مليون جنيه إجمالى خسائر الشركة نتيجة غلق محطتى السادات والجيزة حتى الآن! انتخبوا البرص,NEG
لو حد قال بعد كدا الإخوان مصريين أوفصيل وطنى لازم يتحاكم بتهمة الخيانة أو الغباء!,NEG
ده اللى اسمه تطوير العمل النقابى منهم لله الإخوان كانوا خاربينها ! نقابة المهندسين,NEG
يسقط إعلان مرسي الديكتاتوري,NEG
عاجل القبض على محمد بديع مرشد الإخوان المسلمين فى شقة سكنية ب رابعة العدوية ,NEG
أتذكر البرلمان الإسلامي الذي طالب بقتل الذين يتهجمون على وزارة الداخلية كما تدين تدان,NEG
اللي يسري فودة معملهمش ريتويت دي فتنة عشان ننقسم ونعادي بعض إلعب غيرها,NEG
عاد إلى مصر خطاب دعائي تحريضي ينتمي إلى مرحلة الستينيات مصر تعود للوراء حتى رئيس الحكومة لا يتوقف عن تمجيد السيسي وهو مجرد …,NEG
انتهاكات الانقلاب القمعية فى جامعة الاسكندرية وصلت مداها باصابات واعتقالات انقذنا يا عزيز يا جبار من طغمة الاستعمار,NEG
حب البلد بيعيش لما يموت الجوع حمزة نمرة مهما كلت وشبعت برضو مش بحبها,NEG
 عندي حق لكن هل أخلاقنا مثل أخلاقهم؟,NEG
كل من يقف ضد مواجهة الإرهاب في مصر إرهابي السادة المحترمون,NEG
القبض على ضابط أمريكى متقاعد بالشيخ زويد وبحوزته وثائق وبيانات عن سيناء وجهات سيادية تبدأ التحقيق معه,NEG
فيفي عبده الام المثالية آش أقول واش أضيف مالك وصيف اغنية الروعة,NEG
كلامي لم يتغير من يستغلون الإسلام سياسيا هم من صاروا أكثر كذبا و فحشا,NEG
يا حكومة البطىء أرجوكم سرعوا المارش شوية يوسف الحسيني,NEG
الاخوان جماعة ارهابية يجب التضييق على اخوان الخليج فهم اذناب للتنظيم الدولي للاخوان ولا يقلون خطوره عن اخوان مصر,NEG
إلى المتخاذلون و المتحولون يقول مارتن لوثر عندما ينتهي كل شيء لن تذكر شيئا من كلمات أعدائك لكن صمت أصدقائك سيترك أثرا لن يزول,NEG
لا أعرف لم يعرضون المبالغ على الطفل فيصل الغامدي لإغراءه ببيع هدية الملك ألا يدركوا أنها لا تباع ولا ترد خاصة أنها جاءت من والد الجميع,NEG
من الطبيعي ان تجد شخصا منافقا ومن الممكن ان تجد رجل دين منافقا لكن ما يفعله على جمعه تخطى كل الحدود,NEG
الدين ليس حرفة ولا يصلح لأن يكون حرفة ولا توجد في الإسلام وظيفه إسمها رجل دين ! مصطفى محمود,NEG
قال رسول الله صلى الله عليه وسلم سيأتي على الناس زمان القابض فيه على دينه كالقابض على الجمر بكفي حصار اضبطوا شركاء المخلوع اليمن مصر,NEG
أحمد موسى ما استطاع الرد على باسم يوسف وقد جعله مسخرة المصريين ويتطاول فقط على الرئيس المنتخب من شعب مصر,NEG
مفيش باسم ,NEG
دولة القانون القضاء الشامخ أوبهة سجن متهما ما بين إلى عاما بتهمةالتظاهر وقطع الطريقبالمنيا مصر الثورة,NEG
كريستيانو رونالدو بين الأكثر تأثيرا في العالم بقائمة تايم! التقرير ,NEG
أي حد عايز ينتخب فرعون يبقى يدور على آلة زمن ترجع به هو لوحده لعصر ما قبل الميلاد,NEG
الاعلام لا مظاهرات صور القنوات مصر خالية وهادئة الطرطور مصر تدفع ثمنا باهظا بسبب المظاهرات مين الكذاب كلهم,NEG
لن نسمح أن يزج بنا فى حرب أخرى وتدخلنا بـ سوريا و أوكرانيا من أجل الحل السلميأميركا العرب,NEG
في عيد العمال نستذكر ان هناك من ساهم وساعد ووشى وتشمّت وأظهر حقده وكرهه وتسبب بفصل قرابة ٥٠٠٠ موظف ! هنيئا لكم مزبلة التاري…,NEG
 نتهم عصام العريان وحزب الحرية والعدالة بإحداث فتنة وقتل وإصابة مصريين ,NEG
 لم يحدث هذا كذب و افتراء,NEG
لن يأتى عام الا وديون مصر تسجل رقما عالميا لم تصل اليه اى دولة ولن ينفعنا مليارات الخليج الملوثة بدماء اولادنا,NEG
 تدعون للدين وتنشرون الأكاذيب، لم أكن أبدا عضوا بالوطني انتم تتاجرون بالدين,NEG
 مليون مصرى لم يدفعوا فاتورة الكهرباء الانقلاب ساقط اصبروا وثابروا واحشدوا واهتفوا سلميتنا سلاحنا,NEG
العنف والقتل في محيط مقر جماعة الإخوان مدان ومرفوض بالكامل كما في اشتباكات أسيوط وبني سويف، كل الدم المصري حرام، لا تفسدوا ٣٠ يونيو,NEG
مقدر إن الشغل بيخليك تتفرج على الداعية الشرشوحة شتايمه بتوصلني من صحابيأنا أحب أضيع عمري في حاجات لذيذة مش قميئة,NEG
المجلس العسكري نمتلك ادلة تدين ابريل و تدريبهم في الخارج و في الاخر فسسسسسسسسسس,NEG
د أبو الفتوح رقابة الدولة على الأفكار يحول الناس الى مؤمنين منافقين وهذا ما لانريده ولا نقبله,NEG
الولد اللي بيقبل يتشتم ب امه حتى لو هزار و يقلب الدنيا لو حد جاب اسم صاحبته بس استرجل كده عشان امك اللي بقيالك و تعبت عشانك,NEG
نحن امام انهيار لشرعية المجلس الأعلى للقوات المسلحة,NEG
انصار الشرعية يدينون هذه التفجيرات مصر الليلة,NEG
 مصر خسرت أرواح أبنائها التي لا تعوض بمال السعودية أوالامارات,NEG
توفيق عكاشة محمد رمضان دا شمام وسمكري بوابير جاز,NEG
لا شيء يبرر إحالة المدنيين للقضاء العسكري حتى البلطجية القضاء المدني كفيل بهم,NEG
الاهرام الراكعة للبيادة تحولت الى صحيفة صهيونية تنذر العرب بالحرب عنوان لا تجده الا فى اسرائيل,NEG
من إنجازات الثورة العظيمة هو مشاركة الشعب في المعادلة السياسية ليؤكد أنه أهم لاعب,NEG
افتكر شخص تحبه بدعوة في السر فالدعاء في ظهر الغيب من الادعية المستجابة دعوة الصائم لاترد,NEG
إدارة مكتبة اسكندرية الوسخة فصلت عمر حاذق المعتقل في مظاهرات محاكمة قتلة خالد سعيد الحرية للجدعان,NEG
كلمة هيبة محتاجة تتشال من القاموس عشان ماحدش يتمسح فيها في الرايحة والجاية ده طبعاً غير أنها على نفس وزن خيبة,NEG
احمد ادم بقى بضان فشخ مش لاقي غير باسم يوسف,NEG
مرة جماعة اتبهدلت من عبد الناصر جم عملوا إيه بالظبط تاتاراراتتت,NEG
لا تجعل الامتحانات تلهيك عن عن عن الامتحانات اللي بعدها ،، ما هما شهرين طين امتحانات ايفري وير عشان خاطر ماسر,NEG
الإخواني اللي داخل يتجشأ ويقولك الخبر نزل في اليوم السابعأيوه نزل متفبرك بفضل حد من رجالتكم أكيدلكن ذلك لن ينفي أنه مفبرك لتخدعوا به الناس,NEG
 شهيد ومعتقل قتل وتعذيب واعلان دستوري يجعل إرادة مرسي فوق القانون لكن اردوغان لم يعترض الا عندما خلع الشعب مرسي الاخوان ملة واحدة,NEG
قالوا السياسة مهلكة بشكل عام وبحورها يابني خشنة مش ريش نعام غوص فيها تلقى الغرقانين كلهم شايلين غنايم والخفيف اللي عام صلاح جاهين,NEG
حين يكافئ من تفوه بعبارات كراهية وعنصرية ضد المسيحيين بتعيينه في لجنة الدستور و حين يخرج من مزق الانجيل بكفالة فلا تندهش مما يحدث الان,NEG
من المؤسف ان يتراجع الرئيس عن وعوده لقد وعد الرئيس مرسي المصريين بإصلاح تشكيل لجنة الدستور وهاهو يتراجع عن وعده وينقض العهد شيء معيب,NEG
تطهير الداخلية الآن وفورا,NEG
وائل جمعة عمل المعلق بيقول مش هنعتبر وائل هو اللي عمله خلاص نعتبره كمال جمعة او جمال جمعة جيمي ,NEG
الإخوان ذهبوا مهرولين ليكونوا راعي المشروع الأمريكي الفاشل في المنطقة هم فاشلين ومشروع الأمريكان فاشل الطيور على أشكالها تقع,NEG
 ياباشمهندس دومة ايه الصايع ده الذى تطالب رئيس الجمهورية بالاعفاء عنه هل فى الدول المتقدمة يقدر أحد يتحدى القانون ,NEG
هل هذه هي الديمقراطية؟ هل وزعت أيضا أموال على طلاب جامعة النيل والقيادات النقابية لزعزعة الاستقرار؟ هل بالأمن والقمع سنتعامل مع الاحتجاجات؟,NEG
أنا ضد من يحاول الكذب في السياسة أو من يعتبرها فن الكذب و ليس فقط من جانب أخلاقي بل لأن هذا أثبت فشله لذلك أنا,NEG
نفاق بديع,NEG
إمسك فلول !,NEG
دم شهيدات المنصورة يدين وحشية المجرمين الذين قتلوهن ويحق عليهم القصاص ولا يبرئ وحشيةالمتعصبين الذين القوهن الى التهلكة ويجب عليهم الاعتزال,NEG
الصهاينة يتابكون اليوم لذكرى الهولوكوست وتناسوا بانهم ابطال الهولوكوست الفلسطيني والداعمين للهولوكوست السوري عن طريق خادمهم بشار الاسد,NEG
الجيش بيكتب الاخبار للبرامج الجيش بيكتب خطبة الجمعة للمساجد الجيش بيكتب كلمة الصباح للمدارس فاضل الجيش يكتب وصف الماتشات,NEG
مرسى لم يعد رئيسًا لخروجه على الشرعية وقراراته غير ثورية,NEG
الشعوب لا تنهض بالكلام والظواهر الصوتية لم ولن تحدث فارقا يذكر عبر التاريخ!,NEG
 بصراحة طظ في أي جمهور زي حضرتك وده رأي مش كره والله,NEG
جيش السيسي يهدم بيوتنا؛ لإقامة منطقة عازلة بين سيناء وغزة أين أقنية التصهين؟ لا ورواري العربية يلطم، ولا منتهاه,NEG
الله يسامحه حسني مبارك اكبر غلطة عملها فينا كشعب هو كمية الجهل الرهيب اللي اتسبب فيه!,NEG
نبض الاخوان زواج امريكا من مصر باطل حشود هائلة ل ثوار المطرية وشبرا الخيمة الجمعه ,NEG
كلام وكلام حملة لا أضحية هذا العام تؤكد حب الإخوان للخرفان السادة المحترمون …,NEG
الرئيس الفلسطيني محمود عباس الهولوكوست أبشع جريمة عرفتها البشرية في التاريخ الحديث فلسطيني يقول هذا الكلام ؟!,NEG
هل يتم تنفيذ القانون على امراء السعودية السجون في السعودية مليئة بآلاف المظلومين لمجرد انهم غير سعوديين وخصومهم سعوديون هل نحب لمصر,NEG
من المؤسف ان فيلم بهذه الرداءة يحظى بكل هذا الإهتمام,NEG
 بقوللك إيه محمد محمود، مجلس الوزراء، العباسية، الاتحادية وغيرهم وغيرهم انتم لستم أبرياء وخاصمتم الإنسانية والحق من اجل السلطة,NEG
الهجوم المتوقع على كرداسة متى يتوقفون عن قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,NEG
أهدم نفسك عشان تبني مستقبلك ! التعليم في مصر,NEG
قبل كده وبعدما قفلوا النت في البترول كنا نرسل اللنك لسيرفرات برة وهم الله يجزاهم خير يرسلوا الصفحة، ونستمر على كده تخيل,NEG
قوانين أي مرحلة إنتخابية أهم مليون مرة من المرحلة نفسها بمرشحينها وكل المراحل اللي بعد الثورة إتلعب في أساس قوانينها لتدبير النتيجة باطل,NEG
الرئيس محمد نجيب يصف الضباط الأحرار بالخونة ويندم على انه اطلق عليهم اسم احرار بعد اكتشاف خيانتهم انتخبوا العرص,NEG
الشبراوية مع الشرعية حاميها حراميها الآن من مسيرة شبرا الخيمة بالجزيرة مباشر مصر العز بن عبدالسلام,NEG
اتهام الاخوان لكل من يخالفهم انهم فلول سيدفع الناس لان يكونوا فلول بالعندالثوار ارتكبوا هذه الغلطة من قبل,NEG
لما إنت عارف مجموعة الشيوعيين بالإسم ابقى قدم فيهم بلاغ ولاتنشر الكلام على عواهنهكلامك واضح يارجل الحوار,NEG
اتهام محمد مهدى عاكف المرشد السابق للاخوان عمره أكثر من عاما بالقتل العمد يؤكد أن الفبركة وصلت مداها,NEG
علمو ولادكم إن مفيش حاجه إسمها تحرير سيناء وإن بطل الحرب والسلام حمار وإن سيناء هترجع ف اللحظه اللى يقرر العرب فيه رجوع فلس…,NEG
أنصار الإخوان فرحانين قوي بلبانة إحنا لو نزلنا الشوارع هنربيكو وفاهمين إنهم لو نزلوا وعملوا موقعة جمل جديدة وقتلوا كل الناس إنها هتخلص,NEG
اسألوا البرادعي عما فعله في العراق باسم طلع حرامي …,NEG
أسلوب النعامة في النقاش غير إنه غبي هو أسلوب حيواني في الأساس داروين كان هيهيص معانا اليومين دول,NEG
صورة الشهيدة رضا رمضان سنة التي استشهدت برصاص قوات أمن الانقلاب الفيوم انتخبوا العرص,NEG
حاول ماتبقاش الوالد اللى بيصاحب مية بنت في الاخر هتجوز واحده استرجل بقي,NEG
فضيحة من العيار الثقيل لواء شرطة يفضح استعانة الشرطة بنخنوخ والبلطجية مصر,NEG
معنى هام جداً نحتاجه بشدة في هذه الأيام في بلادنا,NEG
برنامج مش صعبة د حمزاوي شرح مصطلح الأمن القومي ,NEG
التويتة السابقة ايوه العريان قال كل ده مابين جرايد و احاديث صحفيةبطلوا تقرفونا بالبرادعي بقى,NEG
البيض يتمثل فى الي يعمل فولو و لما اعمل الباك يعمل انفولو,NEG
كيف تعلن اللجنة العليا للانتخابات عن نتائج الاستفتاء قبل التحقيق في الانتهاكات والتزوير الاخوان يستهينون بالشعب مثل مبارك وسيلقون مصيره,NEG
والله من شين النفس فيني اليوم اعتراف,NEG
الشهيد بيموت مرة واحدة و المعتقل بيموت كل يوم اللهم فك أسراهم انا مش رقم,NEG
يعتدون على خالد داود صائحين يا بتاع جبهة الإنقاذ يا كافر،فليصمت زياد بهاء الدين و رفاقه عن حديث المصالحة و الا سنرد عليهم بحديث الأصابع مصر,NEG
 فقط جلسة ودية، موقفي من رفض الحوار مع الرئيس وجماعته وحزبه كما هو وملتزم بموقف الشارع الرافض للحوار بدون ضمانات وهو موقف جبهة الإنقاذ,NEG
عبرعاما من عملى الاعلامى هاجمت الاعلام القذر وتعرضت لحرب شرسة الكل تأكد مما قلته من عاما,NEG
انا مش فاهم واحد عنده اكتر من عشرين الف متابع لمجرد انه حاطط صورتي و محور في اسمي ريبورت و سبام من فضلكم,NEG
مش قادر افهم ازاى عبيد باسم طلع حرامى كانوا بيقولوا على الاخوان خرفان والله مفرقتوا عنهم,NEG
اى دين او ملة اى رجولة او شهامة اى مهنة او مهمة تسمح لرجال بالمدافع يهاجمون نساء فى منازلهن للقبض عليهن ثم اتهامهن بحمل سلاح مصر اتهانت,NEG
